10000
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
RCI-841;Aston_Martin;A3;2006;155192;A;97920;0
YCX-442;Jeep;Ignis;2017;264455;A;175313;0
HUT-439;Tata_Motors;Karoq;2010;13907;A;128148;0
XBK-313;Subaru;Caddy;2017;146565;A;15343;0
CUH-041;Toyota;Mii;2019;11507;C;192373;1
VXU-875;_Kia;Polo;2010;37051;C;87684;0
DVG-465;Volkswagen;2008_SUV;2009;120552;A;113075;1
XAS-124;Ferrari;C4_Cactus;2006;260385;C;55495;0
MVZ-832;Volkswagen;500L;2019;255186;C;182900;0
YQP-286;Jeep;MG3;2011;76457;B;56736;0
HKV-455;Renault;Polo;2011;90883;C;188500;1
MTX-357;Volkswagen;PROACE_Verso;2012;220439;C;102450;1
ZRM-778;_Kia;Grandland_X;2016;276877;A;61105;1
XGJ-259;Toyota;1_Series;2008;242069;B;134489;0
XLH-217;Renault;Grand_Tourneo_Connect;2008;231449;A;138310;0
KVS-536;_Peugeot;Passat;2013;199897;A;45300;1
QGZ-510;Lexus;Trafic;2014;23394;C;177835;1
WGH-288;Lexus;Eclipse_Cross;2016;221586;B;118678;0
CDP-212;Volkswagen;C5_Aircross;2012;186601;A;195300;0
WNM-139;_Kia;MX-5;2008;172520;A;176610;0
EPU-898;_Peugeot;CR-V;2008;254785;C;139241;0
AXU-807;Mazda;Golf;2015;257109;B;18604;1
DYH-224;Renault;Soul;2015;161600;A;87908;1
ZVS-977;_Peugeot;C4_Cactus;2010;168263;A;86135;0
SGC-817;Infiniti;Karoq;2018;69403;B;108582;0
GYI-972;Suzuki;fortwo;2017;146686;A;36096;1
ZDQ-760;Aston_Martin;Juke;2018;234622;C;76441;0
WEV-247;_General_Motors;Duster;2007;222215;A;168394;1
UNN-324;Toyota;Vito;2015;204285;B;166231;0
NHA-430;Jeep;Kadjar;2005;252586;B;154065;0
IYG-069;Aston_Martin;Rio;2011;294907;B;186250;0
BOT-404;Koenigsegg;i20;2014;166132;A;101576;0
TWH-655;Ferrari;Giulia;2013;21523;C;40412;1
SGT-699;_Kia;Mini;2012;188021;A;165152;1
KMD-982;Bentley;Grand_Scenic;2015;159324;C;135402;0
BFE-719;Toyota;Grand_Scenic;2006;8799;A;125314;0
ZRN-513;Volkswagen;Rio;2019;269941;C;41169;1
PUZ-881;_Kia;Fiesta;2019;107594;A;47981;0
NBM-427;Infiniti;Corsa;2005;16573;B;49308;1
SSZ-447;_Kia;Q2;2010;158992;B;29789;1
VNV-055;_General_Motors;up!;2015;129771;C;145037;1
NBG-473;BMW;Ibiza;2005;273203;C;43509;0
DLT-109;Jeep;C3;2017;154293;B;19832;1
FRP-385;Tata_Motors;Focus;2007;147762;C;18694;1
JTH-297;Dodge;Karoq;2006;32623;B;97952;1
NKJ-947;Renault;Logan_MCV_Stepway;2007;238653;B;153966;1
IIM-423;Jeep;Astra;2012;118315;A;81370;0
FYA-411;_Kia;Doblo;2007;178323;A;23536;1
PKO-951;BMW;3008_SUV;2012;256975;B;73882;1
OKF-295;Dodge;Galaxy;2010;190249;C;81900;1
PZL-528;Ferrari;Picanto;2011;139828;C;141397;1
RDX-758;_General_Motors;500;2011;279768;A;151792;1
XQL-199;Toyota;ASX;2019;224428;C;131671;1
ODE-723;Aston_Martin;A-Class;2008;115076;A;71821;1
MXT-459;Tata_Motors;Twingo;2008;203678;B;142997;0
NZU-134;_Peugeot;Civic;2008;198872;C;141411;0
LHP-898;Suzuki;Giulia;2017;138504;B;42616;1
TXI-860;Infiniti;Octavia;2012;229769;B;156932;1
FQT-173;Renault;C4_SpaceTourer;2005;190583;B;181858;0
HXQ-396;_Peugeot;Niro;2007;179244;B;134163;1
CDO-600;Aston_Martin;108;2012;40710;B;136266;1
HAD-996;Bentley;Crossland_X;2018;132471;C;123470;0
IVJ-451;Aston_Martin;A3;2016;48487;A;115240;1
KGW-779;_Peugeot;Baleno;2008;90553;B;85337;0
LIG-784;Lexus;Panda;2016;15125;B;111931;0
LCC-515;Jeep;Sandero;2011;110772;C;100138;1
HHD-610;_Peugeot;Vito;2011;142323;B;50420;1
MWB-635;Toyota;MG3;2015;42100;C;122285;0
DEG-814;Lexus;Viva;2015;198265;C;163432;0
KCP-222;Jeep;Micra;2018;277354;A;15137;1
YGL-931;Toyota;Swift;2013;140421;C;140104;1
LKO-079;Tata_Motors;Optima;2019;241978;B;94314;1
EKD-304;_Peugeot;DS_7_Crossback;2019;146478;A;69559;1
AGW-450;Volkswagen;Qubo;2016;70596;C;48293;1
CSU-120;_Kia;T-ROC;2017;168817;B;147315;0
LYY-313;Koenigsegg;Corsa;2010;251064;B;71429;1
SYG-467;Maserati;Fiesta;2013;98108;A;42763;0
MWJ-939;Tata_Motors;ASX;2017;60400;C;135786;1
BWZ-843;Mazda;forfour;2010;203713;C;167258;0
QHR-388;Mazda;Civic;2017;169105;A;34414;0
AON-534;Maserati;Qubo;2019;100686;A;98558;0
GKW-301;Lexus;508;2007;238471;B;99968;1
ZXN-285;Suzuki;Mokka_X;2014;239340;C;193644;1
VKD-075;BMW;DS_7_Crossback;2017;21643;C;143778;0
PQA-662;_Kia;ceed;2010;137399;B;73158;0
CWG-151;Toyota;1_Series;2005;16813;B;126795;0
ONX-607;Aston_Martin;GS;2019;186468;B;102003;0
YBI-958;Mazda;Grandland_X;2015;183519;A;15023;1
MQB-716;Subaru;Zoe;2012;208083;A;196832;1
EMU-034;Lexus;Rifter;2013;83696;C;18335;0
CYA-089;Infiniti;C3_Aircross;2011;247818;A;142462;1
KAO-198;Subaru;3_Series;2011;3222;B;52794;1
YHO-767;Aston_Martin;Sandero_Stepway;2009;215485;A;95473;1
EQL-224;Infiniti;Mazda6;2013;296321;B;87895;1
EZM-797;_Kia;Tiguan;2013;128621;C;184488;1
HSA-111;Toyota;500L;2006;150329;C;126339;1
FGP-733;_General_Motors;5008_SUV;2012;104566;A;197909;1
TWI-877;Koenigsegg;XC40;2005;27956;B;90230;0
YZF-238;Tata_Motors;Caddy_Maxi;2009;216584;B;26120;1
JQK-650;Lexus;2_Series;2008;178771;B;118846;0
PTI-664;Renault;Crossland_X;2006;105563;A;91417;0
SMI-447;Subaru;X1;2010;223293;B;164354;1
JHU-420;Dodge;CX-5;2018;104501;B;120165;1
VTB-438;Volkswagen;Mini_Countryman;2012;111699;B;38112;0
PAG-223;Toyota;Tiguan;2011;36082;A;22970;1
SBB-378;Maserati;S-MAX;2015;147248;A;181455;1
QNA-616;Suzuki;Grand_Tourneo_Connect;2005;276268;C;34857;0
HAR-033;Jeep;Superb;2015;227184;C;151071;1
OAN-748;Subaru;Fiesta;2007;199476;C;88709;0
OLO-746;Maserati;Mini_Countryman;2005;20991;C;180400;1
KBN-408;Volkswagen;500;2018;240040;B;106511;0
DYC-952;Maserati;500;2007;89497;C;124650;0
GDY-190;_Peugeot;Insignia_Country_Tourer;2006;148228;B;164125;0
GUU-531;_Kia;Golf_SV;2018;142437;C;133340;1
BWG-112;Maserati;Tiguan;2007;123302;B;86629;1
AWX-332;Ferrari;Qubo;2007;258746;A;40499;0
XYR-123;Renault;SpaceTourer;2019;237632;C;112478;1
NEL-143;Koenigsegg;CR-V;2013;222438;C;58913;1
WCF-536;_Peugeot;Megane;2013;207583;A;55990;1
CRA-362;Aston_Martin;ZS;2016;261075;B;46049;1
GUY-483;Subaru;ASX;2012;148980;A;178933;1
RDV-005;Volkswagen;X1;2011;279950;A;20548;0
HBY-211;_Peugeot;i20;2016;44565;C;183209;0
GDC-210;Suzuki;Insignia_Grand_Sport;2007;132724;B;29425;0
ZZH-881;_General_Motors;up!;2008;203041;A;182913;1
UPF-018;Lexus;Niro;2011;260409;A;102358;0
EHK-634;Ferrari;ix20;2006;287853;B;160266;0
VKB-545;Mazda;Picanto;2014;15665;C;150704;0
EJT-357;Mazda;Juke;2018;240051;C;191186;1
NCS-614;Bentley;Tourneo_Connect;2017;19070;A;85136;0
QQO-588;Toyota;308_SW;2014;225637;B;72515;1
SOB-218;Ferrari;Tipo;2012;43578;A;102025;1
MGW-677;Lexus;Sharan;2006;95987;C;174163;1
NEB-876;Aston_Martin;Venga;2018;117059;C;24957;0
PTH-723;Jeep;Insignia_Country_Tourer;2005;118511;A;20663;1
TCB-209;_Kia;Optima;2006;70415;C;149041;0
QQH-971;Suzuki;CLA;2008;33368;B;32931;0
OFA-036;Bentley;Tiguan;2011;295885;A;161859;1
LFA-634;Volkswagen;Vito;2017;133687;A;67212;0
LLR-734;Infiniti;X2;2015;286302;A;161226;1
HYJ-806;Subaru;Tourneo_Courier;2017;81822;C;89494;1
UDE-762;Tata_Motors;508;2013;257167;B;66135;1
KJP-531;Suzuki;S-MAX;2007;203863;C;44889;0
CKH-831;Koenigsegg;C-MAX;2007;183531;B;53519;0
ZAH-776;Tata_Motors;Mokka_X;2006;228685;B;97751;1
PTT-925;Koenigsegg;Fiesta;2013;210328;B;74725;0
KTH-827;Toyota;Viva;2011;64487;A;59538;0
HUX-869;Jeep;Transporter_Shuttle;2019;200886;B;66830;1
FTJ-260;Maserati;Rio;2014;116376;A;197685;1
PFW-231;Dodge;Arona;2007;143499;C;115193;1
FEM-174;Aston_Martin;MX-5;2007;215680;C;114989;1
PTB-132;Renault;500L;2012;225561;A;54875;0
EOT-284;Tata_Motors;C3_Aircross;2007;186799;C;20284;1
XRN-259;_Peugeot;Tourneo_Courier;2018;56377;C;79813;1
FKV-988;Tata_Motors;Soul;2013;77545;C;62400;0
VNM-463;Toyota;DS_3;2005;176410;C;89881;0
AXD-842;BMW;up!;2010;243008;A;105680;0
HHF-269;Renault;C-Class;2014;110315;A;177246;1
PLB-899;Lexus;595;2015;55146;B;151566;1
KRY-093;Infiniti;up!;2007;131293;A;74617;1
EQD-832;Maserati;Grand_C4_SpaceTourer;2014;54916;B;177008;1
PKI-857;_Peugeot;Vito;2008;247853;C;59319;0
DOA-611;_Peugeot;MG3;2010;199868;B;56711;0
HZL-325;Maserati;C4_SpaceTourer;2010;147753;A;118288;0
YCN-242;Infiniti;Trafic;2007;68767;A;97493;0
EZY-711;Volkswagen;Tarraco;2013;27981;C;145401;0
DUU-496;Subaru;Sportage;2018;93938;B;169242;1
FPC-994;_Kia;Kadjar;2011;224784;B;103768;1
IIF-526;Aston_Martin;Venga;2014;280132;C;88258;0
KKN-903;_Peugeot;X2;2013;20354;C;56872;0
HES-172;Volkswagen;i800;2014;107347;A;69980;1
AXG-159;Aston_Martin;T-ROC;2018;256437;A;18689;0
BWD-637;Toyota;C-Class;2017;106188;A;114354;0
KIG-924;Renault;C-Class;2013;131721;A;174196;0
LNM-730;Toyota;Polo;2017;295917;C;193370;1
UUY-561;Ferrari;Qubo;2008;126512;C;32866;1
ZUQ-004;Mazda;Mirage;2017;3524;B;196512;0
RCW-642;_Peugeot;Logan_MCV;2017;88318;B;119086;0
QBJ-584;Lexus;i10;2015;74769;B;116149;0
XIY-398;Ferrari;Corsa;2011;93588;C;44580;1
HFZ-660;_Peugeot;Focus;2013;204711;C;76116;1
CBI-207;_Peugeot;Vitara;2007;133979;B;174274;1
QIG-103;Ferrari;108;2009;10452;A;38002;1
QJZ-546;_General_Motors;X2;2019;123149;A;83204;1
OBL-588;Mazda;Superb;2008;6401;C;175909;0
QIA-825;Dodge;Tarraco;2018;3701;C;183371;1
UZA-705;_Peugeot;Transporter_Shuttle;2007;209455;B;181683;0
EYS-169;Dodge;Superb;2006;107029;B;180677;0
KKF-271;Suzuki;Fiesta;2006;146216;C;63902;1
SWS-658;Suzuki;SpaceTourer;2019;202426;A;93326;0
WCU-488;Jeep;Swift;2007;228380;A;55103;0
VXT-040;Aston_Martin;2008_SUV;2016;223968;A;174327;0
UXD-835;Koenigsegg;108;2015;59639;A;63030;0
WRD-709;_General_Motors;Compass;2017;66788;A;196989;0
OIB-573;Dodge;B-Class;2005;58017;A;72908;1
QPK-021;Lexus;500;2006;97988;C;88540;1
JYC-941;Koenigsegg;Qubo;2019;16700;C;179009;0
NDF-441;Mazda;5008_SUV;2015;221570;B;58263;1
JFD-453;Infiniti;C1;2013;241063;A;80010;1
ICM-576;Jeep;Juke;2017;187367;B;77779;0
CZN-708;Maserati;Rio;2018;228175;A;138927;1
YDY-816;Renault;Rio;2008;28124;C;97363;1
CRO-108;Subaru;Passat;2012;78747;C;49603;1
TDX-643;Lexus;Ateca;2014;180446;C;23445;1
ZEG-851;Infiniti;Captur;2019;55564;C;78056;1
VSX-101;Ferrari;C5_Aircross;2007;24507;A;193659;0
PTH-895;Jeep;Grandland_X;2009;45599;A;88150;1
IMJ-102;Tata_Motors;Jazz;2018;219023;C;172095;1
INL-035;Lexus;C4_SpaceTourer;2007;160603;A;117390;1
RKQ-137;_Kia;Baleno;2017;253076;C;23633;0
FEL-938;_General_Motors;C3_Aircross;2013;203629;A;24835;1
IMU-565;Volkswagen;Caddy;2012;24091;C;132499;1
SNF-569;Mazda;Renegade;2007;281032;A;34392;1
SYJ-635;Jeep;up!;2016;296294;B;116423;1
NIL-475;Bentley;Kadjar;2006;138142;B;158001;0
ZVS-655;Dodge;Grand_C-MAX;2011;252163;C;24048;1
TUB-009;Jeep;ceed;2012;244410;C;44482;1
EUP-787;Aston_Martin;C1;2015;274510;C;19465;1
SGT-553;Infiniti;508;2016;265973;A;106048;0
JXN-201;Mazda;Astra;2018;261421;C;169014;0
ROE-083;Tata_Motors;2_Series;2012;190191;A;195739;0
PGI-681;Tata_Motors;CLA;2014;268437;B;141740;0
ITF-787;Aston_Martin;up!;2011;187850;A;110310;0
IMV-557;Suzuki;Ibiza;2012;197974;B;161146;1
HEC-856;_Peugeot;3_Series;2015;149328;C;134315;1
HUW-265;Volkswagen;Twingo;2007;106604;C;152108;0
LTV-663;Infiniti;Caddy;2017;204177;C;72404;0
YML-812;Subaru;Grand_C4_SpaceTourer;2006;88942;C;178126;1
DDY-652;Lexus;Polo;2013;26160;C;73098;1
VNK-192;_General_Motors;Berlingo;2005;264018;B;130250;0
KMF-274;Aston_Martin;Tucson;2018;173457;B;118552;0
JDM-832;Toyota;C1;2007;270626;B;190369;0
WKQ-830;Koenigsegg;Qashqai;2014;131815;A;96069;0
PZD-763;Dodge;Micra;2012;140781;B;122701;1
BEH-272;Toyota;C4_Cactus;2014;41615;B;193373;1
SAI-809;BMW;A-Class;2012;17521;B;118664;1
YJJ-440;Koenigsegg;C5_Aircross;2016;30388;B;110902;1
PEC-607;Suzuki;308;2015;138437;A;46481;1
IQX-954;_General_Motors;508;2016;101978;C;70648;1
TMN-817;Infiniti;2_Series;2009;192921;A;108175;0
HWS-482;Toyota;Sharan;2019;26158;B;172277;1
EWV-512;Aston_Martin;Polo;2010;220765;C;32831;1
MDS-679;_Kia;Sandero_Stepway;2012;239647;A;58565;0
JDH-621;Ferrari;ceed;2016;219846;C;86274;0
NRQ-256;_Kia;308_SW;2008;68062;C;158415;0
YCF-177;_Kia;Trafic;2005;182789;C;193533;0
MBS-945;_General_Motors;Carens;2007;100527;A;86926;1
DSP-021;Dodge;500C;2008;267577;B;176739;1
BMZ-763;Mazda;Celerio;2006;101208;C;188344;1
XBQ-923;_General_Motors;2008_SUV;2017;284762;C;87342;1
IFD-775;Renault;Tarraco;2013;35752;C;43831;1
KKL-133;Renault;Eclipse_Cross;2013;146510;C;27783;1
VFE-713;Infiniti;Megane;2005;223656;A;22379;0
GCF-416;Bentley;Soul;2017;12348;C;199007;0
LVG-569;Renault;1_Series;2014;284267;A;159338;1
KTM-510;Volkswagen;Citigo;2006;135120;B;106448;1
RPK-043;Ferrari;Prius;2011;200728;B;128331;0
ZZD-802;Maserati;Combo_Life;2017;186775;C;158391;1
TXG-282;Volkswagen;S-MAX;2013;35296;C;48588;0
HAK-055;_Peugeot;PROACE_Verso;2019;7734;A;56825;1
SGQ-420;Jeep;fortwo;2006;277094;C;65928;1
UMF-902;Suzuki;Fabia;2015;216200;C;82191;0
CQZ-904;Maserati;A-Class;2017;101983;B;21917;1
SZG-817;Subaru;Swift;2019;292922;A;134648;0
CCO-978;Infiniti;Grand_C4_SpaceTourer;2013;152377;C;16974;1
SIR-982;_Kia;Golf_SV;2007;189532;B;135756;1
KYE-353;Toyota;Superb;2017;101911;B;129419;1
ROQ-135;Bentley;Mini_Countryman;2016;240200;A;75708;1
QGC-577;Infiniti;Tiguan;2006;150046;C;188724;0
NAX-628;Aston_Martin;i10;2014;200978;B;72494;0
TDZ-597;Ferrari;CLA;2008;144285;A;177502;0
VFX-788;Toyota;Soul;2015;106842;C;115638;0
JBY-118;Koenigsegg;i10;2019;251317;C;32968;0
KIO-397;Jeep;Mokka_X;2012;39542;C;138393;0
TTL-896;Maserati;Traveller;2009;9012;C;69903;0
AAF-009;Subaru;Alhambra;2014;153017;A;183533;1
JSR-635;Mazda;XC40;2019;128346;C;148368;0
LVU-920;Lexus;Qubo;2019;288243;C;104123;1
LNC-609;Mazda;Mazda6;2013;145928;A;195690;0
CUJ-801;Tata_Motors;Carens;2016;76514;A;136916;0
TGS-540;Bentley;Micra;2006;27438;C;113484;0
SSN-737;BMW;508;2007;206287;C;32245;1
OIG-013;Aston_Martin;Ibiza;2012;165931;B;106713;1
JDT-612;Koenigsegg;Q2;2012;230314;B;20565;0
BUE-602;Dodge;Mirage;2005;263533;A;113050;1
TZY-657;Infiniti;Eclipse_Cross;2007;5968;C;97020;1
QNC-468;Koenigsegg;up!;2007;47759;B;17058;0
BYH-722;Bentley;Caddy_Maxi;2007;294740;B;71673;1
SFJ-996;Suzuki;Corsa;2010;72218;C;159954;0
ANH-507;_Kia;ZS;2011;211019;A;104301;0
VDT-064;_Peugeot;Logan_MCV_Stepway;2014;30675;B;36947;1
JAU-842;Mazda;3008_SUV;2012;30948;B;193861;1
TKE-010;Renault;Octavia;2012;147516;B;150449;0
NZP-830;Volkswagen;Outlander;2009;36672;B;99044;1
FKL-027;Lexus;Crossland_X;2012;237796;A;193627;0
VSV-696;Toyota;ADAM;2008;175517;C;102540;1
QMD-914;Toyota;Juke;2014;59697;C;105090;0
IMP-188;Jeep;Fabia;2017;15201;B;117898;0
OKW-990;Jeep;Niro;2019;179320;B;36721;0
STC-188;Volkswagen;C4_SpaceTourer;2017;43350;C;49123;0
STI-147;Toyota;Zoe;2013;254369;B;132885;0
PRE-655;_General_Motors;Combo_Life;2014;61153;B;104403;1
LOB-108;Volkswagen;108;2009;75920;C;140566;1
LRW-709;BMW;fortwo;2017;47695;C;181580;0
IXC-539;_General_Motors;Qashqai;2018;125588;B;26170;1
CHH-886;Koenigsegg;508;2006;289563;B;79283;1
ERD-127;Suzuki;Fabia;2017;271015;A;46006;1
NQK-067;Ferrari;Vito;2006;32982;A;113837;1
OQQ-664;Aston_Martin;Ateca;2014;73250;C;58718;0
RJU-797;Bentley;A3;2012;258866;A;103337;1
PXG-433;_General_Motors;Swift;2017;75208;A;134171;1
PBB-034;Toyota;Traveller;2011;136753;A;91536;1
BMC-703;Volkswagen;Corsa;2005;231505;C;119554;1
RQT-816;Infiniti;up!;2015;71283;A;125423;0
CRD-684;Toyota;Sharan;2011;72620;C;124720;0
GIO-244;Maserati;Grand_Tourneo_Connect;2015;150934;B;146628;0
CLQ-509;Dodge;500;2019;196443;C;50004;1
TDO-855;Maserati;C4_SpaceTourer;2019;196415;B;178049;0
LBG-937;Aston_Martin;Baleno;2016;277373;B;26064;0
OKY-017;_Peugeot;308_SW;2008;218194;B;108325;0
WIJ-867;Suzuki;Mini;2008;200814;A;166466;1
OXQ-993;_Peugeot;Venga;2012;167298;C;88054;1
LBP-736;Koenigsegg;Sandero_Stepway;2006;259471;B;115060;1
TPP-960;Jeep;ADAM;2016;27633;B;192890;0
WFY-346;Bentley;308;2009;4518;B;26394;1
QLP-985;Bentley;Insignia_Grand_Sport;2017;178677;C;89891;1
DER-792;Bentley;595;2014;195340;B;38670;0
ICE-610;Bentley;Tucson;2014;241076;B;44782;1
VTW-369;_Kia;Megane;2005;127621;C;155020;0
IRP-047;_General_Motors;C3;2017;65236;A;28999;1
CXK-423;Koenigsegg;Giulia;2013;7259;A;90102;0
NWG-138;Infiniti;Traveller;2005;30683;B;21649;1
OZW-530;Jeep;208;2008;202139;A;165283;1
XBV-381;Lexus;XC40;2012;286546;A;22792;1
NQJ-735;Subaru;Caddy_Maxi;2010;24448;C;126920;1
CEF-400;Jeep;Insignia_Country_Tourer;2014;130667;C;190661;1
AUP-708;Dodge;Corsa;2010;263368;C;23494;0
QYU-624;Subaru;2008_SUV;2010;291974;A;81719;1
WGL-186;_Kia;C3_Aircross;2006;31550;C;108627;1
KLS-847;_Kia;Caddy;2018;209334;B;88692;0
XHS-949;Jeep;508;2019;55464;B;113215;1
AEM-425;Infiniti;ix20;2009;86302;B;77946;0
LMK-317;Ferrari;2_Series;2006;137272;B;126220;0
XUH-920;Suzuki;5008_SUV;2017;262720;A;78867;0
EZD-088;Infiniti;Arona;2010;82570;C;189861;0
GDY-252;Jeep;fortwo;2018;70818;B;154121;0
ESP-158;Subaru;Mii;2006;30415;C;16219;1
DWQ-538;Volkswagen;Karoq;2014;209064;C;140928;1
XBP-708;Tata_Motors;i20;2009;77201;C;93532;1
ORO-123;Dodge;DS_3;2009;204609;B;184741;1
IKO-168;Toyota;1_Series;2010;56068;B;131668;0
QKF-918;Mazda;Alhambra;2014;221369;C;72968;1
FER-049;_Peugeot;Superb;2007;109667;C;92559;0
VTE-122;Bentley;CX-3;2017;127820;B;47617;1
UNQ-270;Volkswagen;Mirage;2013;82192;C;32603;0
QEG-909;_Kia;Rifter;2005;156298;C;87010;1
XRP-645;Lexus;3_Series;2006;10266;B;25278;1
DWO-947;Ferrari;Arona;2013;97634;A;57940;1
EWT-506;Aston_Martin;Optima;2010;186355;A;183509;0
ANA-106;Toyota;Rifter;2011;19663;A;40926;1
NXC-354;Infiniti;Niro;2018;238504;C;107524;0
NCY-176;_General_Motors;Passat;2009;199702;B;177435;1
UXJ-304;_General_Motors;Golf_SV;2010;28373;A;90228;0
HCY-974;Aston_Martin;Focus;2013;125248;B;174212;0
LIU-086;Aston_Martin;208;2016;169585;B;168348;0
WFR-691;Subaru;108;2006;73794;C;126120;0
RMZ-522;Ferrari;CR-V;2014;43102;C;183858;1
KQM-797;Jeep;ADAM;2012;200719;C;110101;0
QRJ-956;Renault;ASX;2019;215936;A;181460;1
VDE-129;Bentley;Tiguan;2005;198416;B;119167;1
VPD-876;Suzuki;Carens;2006;125119;B;144112;1
KTA-203;Suzuki;Tourneo_Connect;2014;276376;B;101540;0
XPV-184;Subaru;Golf_SV;2019;172001;A;149889;0
WOY-751;Subaru;B-Class;2007;107626;B;101348;1
SRG-353;Ferrari;Carens;2018;133565;C;44658;1
ALV-523;Toyota;IONIQ;2014;222491;C;173492;0
ITC-987;Koenigsegg;Grandland_X;2019;200059;B;176370;1
FXS-092;Koenigsegg;Mirage;2009;256331;A;161589;1
ULP-402;Koenigsegg;500;2005;276888;C;157929;0
ADP-264;_Kia;Niro;2005;173981;B;29108;0
TFV-273;_Kia;Citigo;2013;128824;C;71952;1
JMV-480;Dodge;MX-5;2015;220781;C;185117;1
WOB-161;Renault;Mini_Countryman;2019;34225;B;66898;1
HDC-870;_General_Motors;Kuga;2010;200676;A;182232;0
TDP-795;Infiniti;Insignia_Country_Tourer;2018;199063;B;75331;0
EXV-899;Koenigsegg;Tarraco;2019;249037;A;130707;0
LQJ-446;_Kia;Duster;2009;240203;B;136345;1
CQT-250;Renault;Trafic;2015;267918;C;153757;0
SFG-328;Maserati;Captur;2007;121995;A;185398;0
LUB-958;Volkswagen;Sportage;2010;42146;C;100527;0
HDV-611;Maserati;3008_SUV;2011;124368;B;71072;0
UGF-682;Dodge;C-HR;2011;39745;C;114335;0
YVU-947;Suzuki;Giulia;2017;181714;C;49520;0
JTK-868;Mazda;A3;2006;288283;C;110075;1
NUR-952;Ferrari;Golf_SV;2011;200536;B;18612;0
RWI-639;Mazda;A-Class;2014;166431;C;145923;1
MHF-908;Dodge;C3_Aircross;2011;53383;C;55040;0
ZNO-474;Tata_Motors;Q2;2013;233594;B;20721;0
COV-194;Tata_Motors;SpaceTourer;2019;110780;A;53897;1
RKV-840;Suzuki;Carens;2007;131088;B;174690;0
NAV-116;Bentley;Prius;2006;262460;B;16492;0
FKX-980;_Kia;Jazz;2012;95526;B;97344;0
ZOH-928;Ferrari;A-Class;2005;229822;B;173405;1
OQF-607;_Peugeot;DS_7_Crossback;2011;267128;A;112759;1
PHY-557;Suzuki;Tourneo_Connect;2019;165694;B;176053;0
MAY-482;Dodge;2008_SUV;2014;109844;C;63563;0
NAE-332;Dodge;2008_SUV;2008;15074;A;151276;0
MRB-700;Jeep;Giulietta;2014;36295;C;116307;1
PEO-582;Tata_Motors;Karoq;2013;65655;C;169702;0
PEU-055;Subaru;595;2017;241126;B;77074;0
NMV-089;Jeep;C-Class;2015;117087;B;89906;1
AFT-884;_Kia;Tarraco;2010;179056;A;127504;0
ICP-614;Maserati;IONIQ;2010;145523;A;121618;0
UFV-051;Volkswagen;Grand_Tourneo_Connect;2011;108967;B;17574;0
QHF-697;_General_Motors;Grand_C-MAX;2007;41636;C;92508;1
BWR-957;_Kia;Logan_MCV_Stepway;2014;230056;B;87810;0
ARK-210;Aston_Martin;Crossland_X;2012;253922;B;74286;0
YHI-229;Koenigsegg;Kuga;2015;174645;B;139792;1
JUA-762;Aston_Martin;Rifter;2009;169220;C;75150;0
WDR-834;Aston_Martin;Mazda2;2013;204428;C;175106;0
GTI-473;Bentley;Mii;2012;92014;C;66833;0
NIT-468;Ferrari;Zoe;2010;158501;C;39112;0
JEC-657;Lexus;Qubo;2019;221701;C;180761;1
PFG-791;Suzuki;Golf_SV;2005;37187;B;47185;0
YDT-714;Koenigsegg;XC40;2011;250628;A;29086;1
FSK-959;Bentley;Polo;2018;210283;B;92297;0
JXP-390;Renault;Qubo;2011;295351;B;37611;1
WRR-076;Ferrari;Qashqai;2013;208457;C;144087;0
RPJ-750;Ferrari;Focus;2017;67657;B;138854;1
ZSF-195;Bentley;Traveller;2006;205699;B;100807;0
MUN-163;Ferrari;Baleno;2005;132047;A;99774;1
EIA-394;Bentley;i10;2013;121789;C;146775;1
IZX-630;Jeep;A3;2008;215989;B;69926;0
UYR-870;Volkswagen;Q2;2013;4936;B;39220;1
DUB-869;Toyota;Civic;2009;61366;A;167041;0
DBF-500;Toyota;Fiesta;2008;56319;C;49668;0
PES-351;_Peugeot;Kadjar;2013;22203;A;183302;0
EZX-095;Maserati;Corsa;2008;225397;C;41243;1
CFX-589;_Peugeot;Celerio;2016;180829;B;171831;0
MMQ-618;_Peugeot;Corsa;2013;275013;C;54519;1
DZE-963;Koenigsegg;Megane;2012;112802;C;129137;1
UMA-878;Lexus;ix20;2016;95883;A;85829;0
PUZ-577;Renault;Megane;2010;13044;C;180556;1
CVI-028;Koenigsegg;Koleos;2010;124744;C;118137;1
RTV-039;Jeep;Duster;2011;89710;B;131915;1
KHJ-464;Toyota;Polo;2012;4012;A;30888;0
HHR-115;BMW;308;2011;281514;B;71968;0
RTE-752;_Kia;Sandero;2005;262470;B;171459;0
JFK-558;Subaru;X1;2012;40801;B;56337;1
OCG-283;Bentley;CR-V;2014;229585;C;87092;0
ZQN-236;_Kia;Berlingo;2018;88815;B;94978;0
LFA-509;Lexus;308_SW;2010;97232;C;177469;0
PPP-181;Volkswagen;108;2005;64704;B;46444;1
RBP-340;Mazda;Tiguan_Allspace;2006;192165;B;159283;0
ZXT-781;Mazda;Transporter_Shuttle;2015;93964;A;178443;1
OAR-124;BMW;IONIQ;2008;149258;A;120470;1
QJJ-282;Ferrari;Giulietta;2012;48631;C;55453;1
GUY-751;Maserati;2_Series;2007;153128;A;182977;1
